Status,Project,Title,Name,URL,Error
Success,DD,Forest Types of Victoria,forest-types-of-victoria,http://datavic-ckan.docker.amazee.io/dataset/forest-types-of-victoria,
Success,DD,Forest Cover Changes in Victoria from 1972 to 1987,forest-cover-changes-in-victoria-from-1972-to-1987,http://datavic-ckan.docker.amazee.io/dataset/forest-cover-changes-in-victoria-from-1972-to-1987,
Success,DD,Forest Cover of Victoria in 1869,forest-cover-of-victoria-in-1869,http://datavic-ckan.docker.amazee.io/dataset/forest-cover-of-victoria-in-1869,
Success,DD,Registered Aboriginal Parties (RAP) Appointed Boundaries,registered-aboriginal-parties-rap-appointed-boundaries,http://datavic-ckan.docker.amazee.io/dataset/registered-aboriginal-parties-rap-appointed-boundaries,
Success,DD,WARD Boundaries 2020,ward-boundaries-2020,http://datavic-ckan.docker.amazee.io/dataset/ward-boundaries-2020,
Success,DD,Relief Areas with fuzzy boundaries,relief-areas-with-fuzzy-boundaries,http://datavic-ckan.docker.amazee.io/dataset/relief-areas-with-fuzzy-boundaries,
Success,DD,Water Areas with fuzzy boundaries,water-areas-with-fuzzy-boundaries,http://datavic-ckan.docker.amazee.io/dataset/water-areas-with-fuzzy-boundaries,
Success,DD,WARD Boundaries 2017,ward-boundaries-2017,http://datavic-ckan.docker.amazee.io/dataset/ward-boundaries-2017,
Success,DD,WARD Boundaries 2016,ward-boundaries-2016,http://datavic-ckan.docker.amazee.io/dataset/ward-boundaries-2016,
Success,DD,Geomark Polygon,geomark-polygon,http://datavic-ckan.docker.amazee.io/dataset/geomark-polygon,
Success,DD,Geomark Point,geomark-point,http://datavic-ckan.docker.amazee.io/dataset/geomark-point,
Success,DD,VMREFTAB - Metadata Column Name Mapping to support shapefile,vmreftab-metadata-column-name-mapping-to-support-shapefile,http://datavic-ckan.docker.amazee.io/dataset/vmreftab-metadata-column-name-mapping-to-support-shapefile,
Success,DD,Geomark Index Centroid,geomark-index-centroid,http://datavic-ckan.docker.amazee.io/dataset/geomark-index-centroid,
Success,DD,Display View Polygon - Vicmap Property,display-view-polygon-vicmap-property,http://datavic-ckan.docker.amazee.io/dataset/display-view-polygon-vicmap-property,
Success,DD,Aspatial Table - Property View - DVP,aspatial-table-property-view-dvp,http://datavic-ckan.docker.amazee.io/dataset/aspatial-table-property-view-dvp,
